Date,Open,High,Low,Close,Volume,Adj Close
2001-01-02,30.3125,30.375,27.50,28.1875,21939200,14.09375
2000-12-29,30.3125,31.1875,29.5625,30.0625,20893400,15.03125
2000-12-28,29.4375,31.75,29.125,31.00,24374600,15.50
2000-12-27,31.00,31.50,29.125,29.75,22045400,14.875
2000-12-26,32.00,34.00,30.125,31.1875,37536200,15.59375
2000-12-22,26.4375,29.875,26.0625,29.5625,28347400,14.78125
2000-12-21,26.75,28.25,25.0625,25.625,27794400,12.8125
2000-12-20,25.8125,28.375,25.50,27.9375,44862800,13.96875
2000-12-19,30.5625,31.9687,28.00,28.00,36131600,14.00
2000-12-18,33.875,34.00,30.25,32.00,31697600,16.00
2000-12-15,32.00,34.00,31.0625,33.00,40448000,16.50
2000-12-14,35.3125,35.9062,31.9375,32.00,20899800,16.00
2000-12-13,38.3125,38.625,34.25,34.875,33640400,17.4375
2000-12-12,33.25,39.50,32.9375,35.8125,79275800,17.90625
2000-12-11,33.625,37.0625,30.625,33.875,71038800,16.9375
2000-12-08,37.125,37.125,32.125,34.9375,49184000,17.46875
2000-12-07,36.0625,36.2187,31.50,34.9375,55136200,17.46875
2000-12-06,41.625,42.9375,37.125,37.50,32559800,18.75
2000-12-05,39.6875,44.00,39.3125,43.875,30714800,21.9375
2000-12-04,38.4375,39.3125,36.1875,37.9375,29997600,18.96875
2000-12-01,38.8125,41.125,36.375,38.9375,40172600,19.46875
2000-11-30,37.5937,39.625,35.1875,39.625,33938200,19.8125
2000-11-29,37.1406,39.25,35.6875,39.0625,35039400,19.53125
2000-11-28,39.9375,40.50,35.75,36.9687,29390800,18.48435
2000-11-27,43.7343,45.00,40.00,40.125,24838400,20.0625
2000-11-24,40.25,42.25,39.375,40.875,19702400,20.4375
2000-11-22,40.375,43.00,38.0625,38.1875,43183200,19.09375
2000-11-21,47.00,48.00,40.5625,41.6875,49950200,20.84375
2000-11-20,50.375,51.375,47.875,48.875,18448400,24.4375
